provincia;municipio;distrito;seccion;mesa;apellido_desde;apellido_hasta;nombre_colegio;direccion
HUESCA;ABIEGO;1;1;U;A;Z;CENTRO SOCIAL ABIEGO;CALLE DEL AIRE 1
HUESCA;ABIZANDA;1;1;U;A;Z;CENTRO DOC.CULT.SOBRAR.PEDRO SANTORROMAN;CALLE LA IGLESIA 2
HUESCA;ADAHUESCA;1;1;U;A;Z;BAJOS DEL AYUNTAMIENTO;PLAZA LA VILLA 2
HUESCA;AGUERO;1;1;U;A;Z;ESCUELAS-PLANTA BAJA;PLAZA ERA PATIA S/N
HUESCA;AINSA-SOBRARBE;1;1;A;A;K;CABALLERIZAS DEL CASTILLO;PLAZA DEL CASTILLO 1
HUESCA;AINSA-SOBRARBE;1;1;B;L;Z;CABALLERIZAS DEL CASTILLO;PLAZA DEL CASTILLO 1
HUESCA;AISA;1;1;U;A;Z;ANTIGUO HORNO;CALLE MEDIO 3
HUESCA;ALBALATE DE CINCA;1;1;U;A;Z;GRUPO ESCOLAR (COLEGIO PUBLICO);CALLE SAN MIGUEL 23
HUESCA;ALBALATILLO;1;1;U;A;Z;SALON SOCIAL DE EDIFICIOS MULTIPLES;CALLE DOCTOR A. USON 2
HUESCA;ALBELDA;1;1;U;A;Z;SALA DE LA ABADIA DE ALBELDA;PLAZA MAYOR 1
HUESCA;ALBERO ALTO;1;1;U;A;Z;SALON SOCIAL;PLAZA MAYOR S/N
HUESCA;ALBERO BAJO;1;1;U;A;Z;ANTIGUAS ESCUELAS;CALLE MERCED (LA) 14 B
HUESCA;ALBERUELA DE TUBO;1;1;U;A;Z;LOCAL MUNICIPAL. SODETO;CALLE GALILEO 9
HUESCA;ALCALA DE GURREA;1;1;U;A;Z;CENTRO SOCIAL-BAJOS;PLAZA ESPAA 1
HUESCA;ALCALA DEL OBISPO;1;1;U;A;Z;ESCUELAS-ALCALA;CALLE CARRETERA FAANAS 6
HUESCA;ALCAMPELL;1;1;U;A;Z;COLEGIO PUBLICO;CALLE AUTONOMIA DE ARAGON 1
HUESCA;ALCOLEA DE CINCA;1;1;U;A;Z;C.I. RAMON J. SENDER;CMNO CAMINO MOLINO 1
HUESCA;ALCUBIERRE;1;1;U;A;Z;CENTRO DE DIA;PLAZA PLAZA ESPAA 24
HUESCA;ALERRE;1;1;U;A;Z;CENTRO CIVICO DE LAS ANTIGUAS ESCUELAS;CALLE FUENTE 25
HUESCA;ALFANTEGA;1;1;U;A;Z;NUEVO EDIFICIO CONSISTORIAL;PLAZA IGLESIA 1
HUESCA;ALMUDEVAR;1;1;A;A;K;COLEGIO PUBLICO;CALLE CIENCIAS
