id colegio;Municipio;Distrito;Sección;Mesa;Desde;Hasta;Colegio electoral;Dirección
ABANTO | CENTRO SOCIAL | CALLE SAN ISIDRO 4;ABANTO;1;1;U;A;Z;CENTRO SOCIAL;CALLE SAN ISIDRO 4
ACERED | CASA CONSISTORIAL | CALLE MEDIO LUGAR 2;ACERED;1;1;U;A;Z;CASA CONSISTORIAL;CALLE MEDIO LUGAR 2
AGÓN | AYUNTAMIENTO (OFICINAS) | CALLE ARAGON 7;AGÓN;1;1;U;A;Z;AYUNTAMIENTO (OFICINAS);CALLE ARAGON 7
AGUARÓN | ESPACIO JOVEN DE LA CASA DE CULTURA | CALLE CARIÑENA 4;AGUARÓN;1;1;U;A;Z;ESPACIO JOVEN DE LA CASA DE CULTURA;CALLE CARIÑENA 4
AGUILÓN | CASA CONSISTORIAL | CALLE BARRANCO 31;AGUILÓN;1;1;U;A;Z;CASA CONSISTORIAL;CALLE BARRANCO 31
AINZÓN | C.E.I.P. EL POMILLO | CALLE DEMETRIO GALAN BERGUA 1;AINZÓN;1;1;A;A;L;C.E.I.P. EL POMILLO;CALLE DEMETRIO GALAN BERGUA 1
AINZÓN | C.E.I.P. EL POMILLO | CALLE DEMETRIO GALAN BERGUA 1;AINZÓN;1;1;B;M;Z;C.E.I.P. EL POMILLO;CALLE DEMETRIO GALAN BERGUA 1
ALADRÉN | AYUNTAMIENTO | CALLE MAYOR 18 S;ALADRÉN;1;1;U;A;Z;AYUNTAMIENTO;CALLE MAYOR 18 S
ALAGÓN | SALA ALAUN | CALLE ANA ABARCA DE BOLEA 2;ALAGÓN;1;1;A;A;K;SALA ALAUN;CALLE ANA ABARCA DE BOLEA 2
ALAGÓN | SALA ALAUN | CALLE ANA ABARCA DE BOLEA 2;ALAGÓN;1;1;B;L;Z;SALA ALAUN;CALLE ANA ABARCA DE BOLEA 2
ALAGÓN | SALA ALAUN | CALLE ANA ABARCA DE BOLEA 2;ALAGÓN;1;2;A;A;K;SALA ALAUN;CALLE ANA ABARCA DE BOLEA 2
ALAGÓN | SALA ALAUN | CALLE ANA ABARCA DE BOLEA 2;ALAGÓN;1;2;B;L;Z;SALA ALAUN;CALLE ANA ABARCA DE BOLEA 2
ALAGÓN | SALA ALAUN | CALLE ANA ABARCA DE BOLEA 2;ALAGÓN;1;3;A;A;G;SALA ALAUN;CALLE ANA ABARCA DE BOLEA 2
ALAGÓN | SALA ALAUN | CALLE ANA ABARCA DE BOLEA 2;ALAGÓN;1;3;B;H;M;SALA ALAUN;CALLE ANA ABARCA DE BOLEA 2
ALAGÓN | SALA ALAUN | CALLE ANA ABARCA DE BOLEA 2;ALAGÓN;1;3;C;N;Z;SALA ALAUN;CALLE ANA ABARCA DE BOLEA 2
ALAGÓN | SALA ALAUN | CALLE ANA ABARCA DE BOLEA 2;ALAGÓN;1;4;A;A;K;SALA ALAUN;CALLE ANA ABARCA DE BOLEA 2
ALAGÓN | SALA ALAUN | CALLE ANA ABARCA DE BOLEA 2;ALAGÓN;1;4;B;L;Z;SALA ALAUN;CALLE ANA ABARCA DE BOLEA 2
ALAGÓN | SALA ALAUN | CALLE ANA ABARCA DE BOLEA 2;ALAGÓN;1;5;U;A;Z;SALA ALAUN;CALLE ANA ABARCA DE BOLEA 2
ALARBA | AYUNTAMIENTO | CALLE BAJA 28;ALARBA;1;1;U;A;Z;AYUNTAMIENTO;CALLE BAJA 28
ALBERITE DE SAN JUAN | ANTIGUAS ESCUELAS | CALLE MAYOR 4;ALBERITE DE SAN JUAN;1;1;U;A;Z;ANTIGUAS ESCUELAS;CALLE MAYOR 4
ALBETA | SALA POLIVALENTE | CALLE TRINQUETE 1;ALBETA;1;1;U;A;Z;SALA POLIVALENTE;CALLE TRINQUETE 1
ALBORGE | AYUNTAMIENTO-SALON DE ACTOS | PLAZA ESPAÑA 3;ALBORGE;1;1;U;A;Z;AYUNTAMIENTO-SALON DE ACTOS;PLAZA ESPAÑA 3
ALCALÁ DE EBRO | AYUNTAMIENTO-SALON DE ACTOS | PLAZA ESPAÑA 1;ALCALÁ DE EBRO;1;1;U;A;Z;AYUNTAMIENTO-SALON DE ACTOS;PLAZA ESPAÑA 1
ALCALÁ DE MONCAYO | ESCUELA MIXTA | CALLE PUERTA DEL LUGAR 16;ALCALÁ DE MONCAYO;1;1;U;A;Z;ESCUELA MIXTA;CALLE PUERTA DEL LUGAR 16
ALCONCHEL DE ARIZA | CENTRO CULTURAL | PLAZA VILLARREAL 7;ALCONCHEL DE ARIZA;1;1;U;A;Z;CENTRO CULTURAL;PLAZA VILLARREAL 7
ALDEHUELA DE LIESTOS | LOCAL CULTURAL | CALLE IGLESIA (LA) S/N;ALDEHUELA DE LIESTOS;1;1;U;A;Z;LOCAL CULTURAL;CALLE IGLESIA (LA) S/N
ALFAJARÍN | SALON CULTURAL “LA PORTAZA” | PLAZA CULTURA (DE LA) 2;ALFAJARÍN;1;1;A;A;F;SALON CULTURAL “LA PORTAZA”;PLAZA CULTURA (DE LA) 2
ALFAJARÍN | SALON CULTURAL “LA PORTAZA” | PLAZA CULTURA (DE LA) 2;ALFAJARÍN;1;1;B;G;M;SALON CULTURAL “LA PORTAZA”;PLAZA CULTURA (DE LA) 2
ALFAJARÍN | SALON CULTURAL “LA PORTAZA” | PLAZA CULTURA (DE LA) 2;ALFAJARÍN;1;1;C;N;Z;SALON CULTURAL “LA PORTAZA”;PLAZA CULTURA (DE LA) 2
ALFAMÉN | COLEGIO PUBLICO | CALLE ALFONSO TIMONEDA 4;ALFAMÉN;1;1;A;A;L;COLEGIO PUBLICO;CALLE ALFONSO TIMONEDA 4
ALFAMÉN | COLEGIO PUBLICO | CALLE ALFONSO TIMONEDA 4;ALFAMÉN;1;1;B;M;Z;COLEGIO PUBLICO;CALLE ALFONSO TIMONEDA 4
ALFORQUE | CASA CONSISTORIAL | PLAZA IGLESIA (DE LA) 1;ALFORQUE;1;1;U;A;Z;CASA CONSISTORIAL;PLAZA IGLESIA (DE LA) 1
ALHAMA DE ARAGÓN | COLEGIO PABLO DE LUNA | AVDA ARAGON (DE) 19;ALHAMA DE ARAGÓN;1;1;A;A;K;COLEGIO PABLO DE LUNA;AVDA ARAGON (DE) 19
ALHAMA DE ARAGÓN | COLEGIO PABLO DE LUNA | AVDA ARAGON (DE) 19;ALHAMA DE ARAGÓN;1;1;B;L;Z;COLEGIO PABLO DE LUNA;AVDA ARAGON (DE) 19
ALMOCHUEL | AYUNTAMIENTO (SALON DE PLENOS) | CALLE ORIENTE 14;ALMOCHUEL;1;1;U;A;Z;AYUNTAMIENTO (SALON DE PLENOS);CALLE ORIENTE 14
ALMOLDA (LA) | AYUNTAMIENTO | PLAZA ESPAÑA 9;ALMOLDA (LA);1;1;U;A;Z;AYUNTAMIENTO;PLAZA ESPAÑA 9
ALMONACID DE LA CUBA | AYUNTAMIENTO | PLAZA MAYOR 1;ALMONACID DE LA CUBA;1;1;U;A;Z;AYUNTAMIENTO;PLAZA MAYOR 1
ALMONACID DE LA SIERRA | CASA DE CULTURA (PLANTA CALLE) | PLAZA CONSTITUCION (DE LA) 1;ALMONACID DE LA SIERRA;1;1;U;A;Z;CASA DE CULTURA (PLANTA CALLE);PLAZA CONSTITUCION (DE LA) 1
ALMUNIA DE DOÑA GODINA (LA) | PABELLÓN MULTIUSOS | RONDA CORTES DE ARAGON 3;ALMUNIA DE DOÑA GODINA (LA);1;1;A;A;L;PABELLÓN MULTIUSOS;RONDA CORTES DE ARAGON 3
ALMUNIA DE DOÑA GODINA (LA) | PABELLÓN MULTIUSOS | RONDA CORTES DE ARAGON 3;ALMUNIA DE DOÑA GODINA (LA);1;1;B;M;Z;PABELLÓN MULTIUSOS;RONDA CORTES DE ARAGON 3
ALMUNIA DE DOÑA GODINA (LA) | PABELLÓN MULTIUSOS | RONDA CORTES DE ARAGON 3;ALMUNIA DE DOÑA GODINA (LA);1;2;A;A;F;PABELLÓN MULTIUSOS;RONDA CORTES DE ARAGON 3
ALMUNIA DE DOÑA GODINA (LA) | PABELLÓN MULTIUSOS | RONDA CORTES DE ARAGON 3;ALMUNIA DE DOÑA GODINA (LA);1;2;B;G;L;PABELLÓN MULTIUSOS;RONDA CORTES DE ARAGON 3
ALMUNIA DE DOÑA GODINA (LA) | PABELLÓN MULTIUSOS | RONDA CORTES DE ARAGON 3;ALMUNIA DE DOÑA GODINA (LA);1;2;C;M;Z;PABELLÓN MULTIUSOS;RONDA CORTES DE ARAGON 3
ALMUNIA DE DOÑA GODINA (LA) | PABELLÓN MULTIUSOS | RONDA CORTES DE ARAGON 3;ALMUNIA DE DOÑA GODINA (LA);1;3;A;A;K;PABELLÓN MULTIUSOS;RONDA CORTES DE ARAGON 3
